Scientific name,Number of occurrences
Veronica serpyllifolia serpyllifolia,2
Vicia eriocarpa,1
Viola serpentinicola,2
Vulpicida tilesii,0
Xanthoparmelia enteroxantha,0
Xanthotis polygrammus,0
Xenostrobus neozelanicus,6
Xylotrupes australicus,3
Yoyetta humphreyae,13
Zapornia tabuensis,11
Zapornia pusilla,16
Zapornia pusilla palustris,1
Zebrasoma velifer,23
Zingiber spectabile,3
Zizina labradus,170
Zoila thersites thersites,5
Zonerodius heliosylus,0
Zosterops novaeguineae,0
Angiospermae,3728
Anisoptera,100
Anas platyrhynchos Ã— cairina moschata,12
Cylominae,
